order_id,order_date,customer_id,total_price
7324,2023-11-27,2160,955.86
8938,2024-08-31,8497,984.91
4238,2023-12-05,6295,649.18
10944,2024-02-22,2936,54.83
11075,2024-08-14,2994,320.24
13842,2024-05-20,5953,555.05
1126,2023-11-17,4825,308.21
8310,2024-08-09,7873,957.72
6084,2024-08-23,5627,934.52
3161,2024-11-01,2086,488.16
57,2024-05-26,975,388.08
11179,2024-02-06,7024,24.32
1860,2024-09-30,4276,42.33
9492,2024-09-27,4374,43.54
2853,2024-03-29,1888,44.45
51,2024-05-16,3177,735.84
11997,2024-04-25,5410,620.96
6792,2024-05-21,7971,812.89
9279,2024-04-26,995,241.51
5292,2024-08-03,1259,123.95
8357,2023-11-05,4733,206.41
14041,2024-05-10,7404,459.13
4657,2024-07-25,9938,423.73
100,2024-01-11,3089,111.23
1802,2024-08-31,9808,677.87
7789,2023-12-03,8797,465.42
3325,2024-09-04,4478,475.69
2843,2023-12-26,6169,432.37
11500,2024-09-15,7978,675.62
6897,2024-07-12,6618,516.94
12382,2024-08-29,830,758.96
9976,2024-10-20,4348,148.35
5957,2023-12-30,8681,693.67
8450,2024-06-18,3575,721.84
14945,2024-06-14,9522,954.23
6813,2024-09-06,4759,913.78
12604,2024-10-23,7420,507.40
1022,2024-06-07,7073,766.87
5606,2024-06-22,3811,314.02
14711,2023-12-26,275,394.39
9825,2024-10-19,3495,630.44
10666,2024-03-11,7865,386.69
14204,2024-05-01,5856,405.54
4433,2024-08-01,441,127.98
99,2024-07-09,7243,826.56
8827,2024-10-04,8235,422.47
1036,2024-07-31,544,854.47
12274,2024-08-18,2535,730.52
12288,2023-12-05,1688,612.09
4712,2024-03-30,1911,850.01
9791,2024-09-10,1203,867.92
1424,2024-03-05,4552,52.13
12572,2023-12-24,8606,762.91
8986,2024-06-06,7,354.92
13222,2024-09-30,57,871.23
3619,2024-08-19,389,54.56
9813,2024-10-18,6341,51.47
12770,2024-06-06,8537,456.70
13133,2024-02-16,6805,912.58
358,2024-05-23,2000,189.93
2244,2024-05-19,9513,654.15
8097,2024-10-18,5140,935.29
12011,2023-12-26,7178,836.12
1504,2024-09-29,9952,695.96
12747,2024-06-14,7160,274.48
8445,2023-12-12,9141,58.58
2111,2023-11-10,5048,463.70
4385,2024-09-11,4432,564.88
2233,2023-11-19,1341,366.11
3986,2023-12-10,9001,791.36
11881,2024-01-25,3860,331.96
7464,2024-05-01,2761,623.70
4310,2024-04-24,7667,554.63
6345,2024-07-19,9492,126.97
14941,2024-01-19,4223,405.58
1442,2024-10-31,310,597.64
110,2024-03-26,1052,439.18
7440,2024-03-14,8138,170.56
805,2024-05-15,8036,902.78
10816,2024-08-06,6084,213.19
12195,2024-06-20,2995,108.56
7022,2024-10-04,998,921.78
10404,2024-03-06,5356,283.22
12598,2024-08-31,4258,67.79
14612,2024-11-03,8720,785.89
8811,2024-05-27,1097,326.87
8843,2024-05-16,8400,751.15
13540,2024-05-17,9881,625.83
1519,2023-12-05,9821,991.71
11963,2024-06-01,5470,20.95
4795,2023-11-19,3559,419.09
1863,2024-05-26,5094,690.08
1971,2024-07-10,5853,855.64
14965,2023-12-01,2213,668.39
4317,2024-04-14,6220,750.78
5192,2024-03-13,1300,390.76
2456,2024-09-28,5090,595.68
4936,2024-04-25,8686,672.59
9314,2024-02-21,9893,210.36
3024,2024-08-07,8657,828.39
3118,2024-05-28,4393,92.90
4403,2024-01-20,6152,307.27
4496,2024-01-06,1376,735.08
12529,2023-12-20,4795,33.26
