shipment_id,order_id,shipment_date,carrier,tracking_number,delivery_date,shipment_status
1,1,2024-10-13,UPS,TRK344284,2024-10-14,Pending
2,2,2024-08-27,DHL,TRK718398,2024-08-28,Delivered
3,3,2024-05-23,FedEx,TRK161368,2024-05-31,Pending
4,4,2024-06-06,UPS,TRK890181,2024-06-10,Pending
5,5,2024-11-03,DHL,TRK681341,2024-11-08,Delivered
6,6,2024-05-03,FedEx,TRK076623,2024-05-07,Pending
7,7,2023-12-28,UPS,TRK767199,2023-12-30,Delivered
8,8,2023-11-14,DHL,TRK930895,2023-11-16,Delivered
9,9,2024-10-25,FedEx,TRK502345,2024-11-01,Delivered
10,10,2024-06-09,UPS,TRK169754,2024-06-14,Shipped
11,11,2024-09-06,DHL,TRK855233,2024-09-11,Shipped
12,12,2024-04-11,FedEx,TRK974542,2024-04-13,Pending
13,13,2024-08-08,UPS,TRK591371,2024-08-12,Delivered
14,14,2024-10-23,DHL,TRK379731,2024-10-26,Delivered
15,15,2024-06-21,FedEx,TRK043919,2024-06-29,Delivered
16,16,2024-05-04,UPS,TRK936117,2024-05-10,Delivered
17,17,2024-08-11,DHL,TRK566646,2024-08-13,Pending
18,18,2024-06-24,FedEx,TRK650383,2024-07-01,Delivered
19,19,2024-09-04,UPS,TRK551506,2024-09-09,Shipped
20,20,2024-01-05,DHL,TRK460663,2024-01-12,Delivered
21,21,2024-10-18,FedEx,TRK948321,2024-10-22,Delivered
22,22,2023-12-09,UPS,TRK749106,2023-12-13,Delivered
23,23,2023-12-16,DHL,TRK292444,2023-12-20,Shipped
24,24,2024-07-07,FedEx,TRK461401,2024-07-10,Pending
25,25,2024-06-06,UPS,TRK282598,2024-06-12,Pending
26,26,2024-07-08,DHL,TRK357860,2024-07-14,Delivered
27,27,2024-07-12,FedEx,TRK817455,2024-07-17,Cancelled
28,28,2023-12-15,UPS,TRK426322,2023-12-16,Pending
29,29,2024-05-02,DHL,TRK001293,2024-05-08,Pending
30,30,2024-08-01,FedEx,TRK667394,2024-08-06,Shipped
31,31,2024-03-19,UPS,TRK062304,2024-03-22,Pending
32,32,2024-08-08,DHL,TRK192963,2024-08-13,Pending
33,33,2024-08-24,FedEx,TRK801770,2024-08-27,Shipped
34,34,2024-02-10,UPS,TRK056656,2024-02-16,Shipped
35,35,2024-04-04,DHL,TRK286552,2024-04-08,Delivered
36,36,2024-03-26,FedEx,TRK929875,2024-03-27,Shipped
37,37,2024-01-02,UPS,TRK486006,2024-01-06,Shipped
38,38,2024-05-03,DHL,TRK591965,2024-05-08,Delivered
39,39,2024-06-28,FedEx,TRK126053,2024-07-03,Delivered
40,40,2024-08-23,UPS,TRK186660,2024-08-27,Pending
41,41,2024-02-25,DHL,TRK228097,2024-02-29,Delivered
42,42,2024-09-18,FedEx,TRK675562,2024-09-26,Delivered
43,43,2024-10-13,UPS,TRK922507,2024-10-16,Delivered
44,44,2024-07-08,DHL,TRK534190,2024-07-11,Shipped
45,45,2024-03-02,FedEx,TRK119030,2024-03-04,Shipped
46,46,2024-08-21,UPS,TRK392828,2024-08-25,Shipped
47,47,2023-12-30,DHL,TRK235278,2023-12-31,Pending
48,48,2023-11-22,FedEx,TRK170290,2023-11-28,Shipped
49,49,2024-03-28,UPS,TRK772122,2024-04-01,Delivered
50,50,2024-07-22,DHL,TRK159547,2024-07-24,Delivered
51,51,2024-05-18,FedEx,TRK253961,2024-05-20,Pending
52,52,2024-06-02,UPS,TRK802059,2024-06-10,Pending
53,53,2024-08-04,DHL,TRK721030,2024-08-08,Delivered
54,54,2024-01-30,FedEx,TRK310750,2024-02-06,Pending
55,55,2024-08-20,UPS,TRK423161,2024-08-22,Shipped
56,56,2024-03-04,DHL,TRK380369,2024-03-11,Shipped
57,57,2024-05-28,FedEx,TRK329835,2024-05-31,Shipped
58,58,2024-06-28,UPS,TRK418211,2024-06-29,Pending
59,59,2024-08-05,DHL,TRK865810,2024-08-11,Shipped
60,60,2024-01-02,FedEx,TRK873334,2024-01-07,Pending
61,61,2024-08-11,UPS,TRK837901,2024-08-15,Delivered
62,62,2024-08-08,DHL,TRK976835,2024-08-15,Pending
63,63,2024-05-03,FedEx,TRK912221,2024-05-08,Delivered
64,64,2024-04-12,UPS,TRK401740,2024-04-18,Shipped
65,65,2024-08-05,DHL,TRK478481,2024-08-10,Delivered
66,66,2024-04-24,FedEx,TRK398754,2024-04-28,Shipped
67,67,2024-07-11,UPS,TRK696076,2024-07-16,Pending
68,68,2024-09-18,DHL,TRK155411,2024-09-20,Cancelled
69,69,2024-01-26,FedEx,TRK637648,2024-01-31,Delivered
70,70,2024-09-25,UPS,TRK260510,2024-10-02,Delivered
71,71,2024-08-22,DHL,TRK099538,2024-08-25,Pending
72,72,2024-01-07,FedEx,TRK998893,2024-01-10,Cancelled
73,73,2024-09-02,UPS,TRK967359,2024-09-07,Pending
74,74,2024-06-26,DHL,TRK785450,2024-07-01,Delivered
75,75,2024-03-19,FedEx,TRK090974,2024-03-26,Shipped
76,76,2024-03-22,UPS,TRK860615,2024-03-26,Delivered
77,77,2024-04-13,DHL,TRK203526,2024-04-15,Pending
78,78,2024-01-27,FedEx,TRK842985,2024-02-01,Shipped
79,79,2024-02-09,UPS,TRK187667,2024-02-14,Pending
80,80,2024-01-06,DHL,TRK167879,2024-01-12,Pending
81,81,2024-02-01,FedEx,TRK396306,2024-02-08,Shipped
82,82,2024-02-20,UPS,TRK767139,2024-02-24,Shipped
83,83,2024-02-21,DHL,TRK751317,2024-02-25,Delivered
84,84,2024-10-14,FedEx,TRK880506,2024-10-19,Shipped
85,85,2024-08-11,UPS,TRK545163,2024-08-17,Cancelled
86,86,2024-07-23,DHL,TRK685600,2024-07-26,Pending
87,87,2024-02-23,FedEx,TRK416424,2024-02-27,Shipped
88,88,2024-08-02,UPS,TRK329722,2024-08-05,Pending
89,89,2024-02-17,DHL,TRK229007,2024-02-21,Shipped
90,90,2024-07-26,FedEx,TRK027765,2024-08-03,Delivered
91,91,2024-01-24,UPS,TRK146036,2024-01-30,Pending
92,92,2023-12-21,DHL,TRK177076,2023-12-24,Delivered
93,93,2024-09-05,FedEx,TRK901536,2024-09-11,Delivered
94,94,2024-05-07,UPS,TRK858729,2024-05-10,Delivered
95,95,2024-08-23,DHL,TRK309324,2024-08-26,Delivered
96,96,2024-07-13,FedEx,TRK727094,2024-07-19,Pending
97,97,2024-06-10,UPS,TRK516527,2024-06-18,Delivered
98,98,2024-09-19,DHL,TRK299125,2024-09-25,Delivered
99,99,2024-07-14,FedEx,TRK803806,2024-07-18,Pending
100,100,2024-01-13,UPS,TRK972906,2024-01-16,Pending
101,101,2024-11-05,DHL,TRK790609,2024-11-06,Delivered
102,102,2024-04-29,FedEx,TRK353034,2024-05-06,Shipped
103,103,2024-08-17,UPS,TRK754763,2024-08-21,Delivered
104,104,2024-01-31,DHL,TRK519260,2024-02-04,Shipped
105,105,2024-03-24,FedEx,TRK500835,2024-03-30,Pending
106,106,2023-12-16,UPS,TRK482352,2023-12-18,Pending
107,107,2024-09-09,DHL,TRK236734,2024-09-11,Delivered
108,108,2024-04-23,FedEx,TRK614517,2024-04-29,Shipped
109,109,2024-10-06,UPS,TRK836983,2024-10-08,Shipped
110,110,2024-03-28,DHL,TRK307787,2024-04-02,Cancelled
111,111,2024-09-01,FedEx,TRK422896,2024-09-07,Delivered
112,112,2024-06-29,UPS,TRK625442,2024-07-02,Shipped
113,113,2023-11-11,DHL,TRK913858,2023-11-18,Shipped
114,114,2024-01-26,FedEx,TRK417904,2024-01-30,Pending
115,115,2024-10-28,UPS,TRK047564,2024-10-31,Delivered
116,116,2024-01-17,DHL,TRK421959,2024-01-18,Shipped
117,117,2024-06-01,FedEx,TRK479789,2024-06-08,Cancelled
118,118,2024-09-02,UPS,TRK974354,2024-09-07,Delivered
119,119,2024-06-23,DHL,TRK699602,2024-06-24,Shipped
